id,mark,model,year,mileage,body_type,color,engine_vol,fuel,gearbox,cleared,price
119,Opel,Kadett,1987,0,Sedan,Green,1400,Petrol,Mechanical,1.0,1000
120,BMW,5 серия,1997,255000,Universal,Black,249700,Diesel,Mechanical,0.0,0
121,Renault,Trafic,2012,98,Passenger van (up to 1.5 tons),White,2,Diesel,Mechanical,1.0,10800
122,Citroen,C5,2007,280,Universal,Black,2200,Diesel,Automatic,1.0,7350
123,Toyota,Verso,2012,80700,Hatchback,Gray,14,Diesel,Automatic,1.0,9700
124,Nissan,Skyline,1982,0,Universal,Red,18,Petrol,Mechanical,0.0,800
125,Mazda,6,2016,34000,Sedan,Black,25,Gas / petrol,Automatic,1.0,18200
126,VAZ,2107,1998,110000,Sedan,White,1500,Petrol,Mechanical,1.0,1100
127,Ford,Focus,2013,175,Universal,Black,2,Diesel,Automatic,1.0,12000
128,GAZ,24,1974,0,Sedan,Gray,2400,Petrol,Mechanical,1.0,884
129,Mazda,626,2002,0,Sedan,Silver,2,Diesel,Mechanical,0.0,1000
130,GAZ,24-10 Волга,1989,300000,Sedan,White,2500,Gas / petrol,Mechanical,1.0,769
131,Skoda,Superb,2009,170000,Sedan,Black,1800,Petrol,Automatic,1.0,10320
132,Volkswagen,Caddy,2010,230870,Passenger van (up to 1.5 tons),Blue,1900,Diesel,Mechanical,1.0,8650
133,Toyota,Prius,2016,33000,Sedan,White,1800,Electro,Automatic,1.0,22200
134,VAZ,21104,2005,88000,Sedan,Gray,1600,Gas / petrol,Mechanical,1.0,4100
135,VAZ,21083,1990,0,Sedan,Blue,1500,Gas / petrol,Mechanical,1.0,1250
136,Volkswagen,Passat Sedan,2006,151000,Sedan,Black,2000,Petrol,Tiptronic,1.0,8500
137,Opel,Astra,2006,183000,Hatchback,Silver,1,Gas / petrol,Automatic,1.0,6500
138,Volkswagen,Jetta,2011,114000,Sedan,Black,2500,Petrol,Tiptronic,0.0,5800
139,VAZ,2106,1993,0,Sedan,Blue,1500,Petrol,Mechanical,1.0,807
140,Renault,Laguna,2003,230000,Universal,Golden,1900,Diesel,Mechanical,0.0,1700
141,BMW,5 серия,2003,250000,Sedan,Silver,2500,Diesel,Automatic,1.0,8200
142,VAZ,2109,2000,87000,Hatchback,Silver,1500,Petrol,Mechanical,1.0,1450
143,VAZ,21102,2004,72000,Sedan,Cherry,1500,Petrol,Mechanical,1.0,2700
144,Mercedes-Benz,190,1989,254000,Sedan,Silver,1999,Petrol,Mechanical,1.0,1200
145,Geely,Emgrand,2014,53500,SUV / Crossover,Brown,18,Gas / petrol,Mechanical,1.0,9450
146,Toyota,Camry,1993,1500,Sedan,Gray,2200,Gas / petrol,Mechanical,1.0,3700
147,Land Rover,Freelander,2008,185,SUV / Crossover,Blue,2200,Diesel,Mechanical,1.0,11600
148,Audi,A6,2005,0,Sedan,Black,3000,Gas / petrol,Automatic,1.0,7300
149,Citroen,Berlingo,2007,117000,Other,Black,1,Petrol,Mechanical,1.0,8000
150,Honda,Accord,2004,150000,Coupe,Black,2400,Petrol,Automatic,1.0,6500
151,VAZ,2107,2008,8800,Sedan,Green,1599,Petrol,Mechanical,1.0,3000
152,Mercedes-Benz,Vito,2007,415000,Universal,White,2148,Diesel,Mechanical,1.0,7850
153,Audi,100,1983,480000,Sedan,Cherry,1800,Petrol,Mechanical,1.0,1200
154,Volkswagen,Passat Sedan,2007,151000,Sedan,Blue,1997,Petrol,Mechanical,1.0,10500
155,Volkswagen,Passat Sedan,1996,32000,Sedan,Red,1900,Diesel,Mechanical,0.0,900
156,VAZ,2101,1982,0,Other,Red,668,Petrol,Mechanical,1.0,435
157,Opel,Combo,2007,295,Universal,White,13,Diesel,Mechanical,1.0,3550
158,Mercedes-Benz,W123,1981,1000,Sedan,Blue,2,Diesel,Mechanical,1.0,2300
159,Volkswagen,Caddy,2011,152000,Universal,Silver,1600,Diesel,Automatic,1.0,12400
160,Opel,Vivaro,2007,222000,Minivan,Silver,1995,Diesel,Mechanical,1.0,9500
161,Toyota,Avensis,2012,230000,Sedan,White,2000,Diesel,Mechanical,1.0,13500
162,Renault,Scenic II,2007,191000,Minivan,Golden,1600,Petrol,Automatic,1.0,6900
163,VAZ,Другая,1988,80000,Sedan,Beige,2445,Petrol,Mechanical,0.0,576
164,Volkswagen,Passat Variant,2002,152358,Universal,Gray,1600,Petrol,Mechanical,0.0,3100
165,VAZ,21099,2006,0,Sedan,Black,1600,Petrol,Mechanical,1.0,1646
166,VAZ,21101,1978,20806,Sedan,Blue,1300,Gas / petrol,Mechanical,1.0,700
167,Renault,Grand Scenic,2010,182,Minivan,Blue,15,Diesel,Mechanical,1.0,7750
168,BMW,5 серия,2012,115000,Sedan,Black,3000,Petrol,Automatic,1.0,19500
169,Mazda,3,2005,180000,Hatchback,Red,16,Petrol,Automatic,1.0,6600
170,Toyota,Corolla,1999,190000,Liftback,Gray,14,Petrol,Mechanical,0.0,1300
171,Nissan,Primera,1992,380,Sedan,Beige,2,Diesel,Mechanical,1.0,1800
172,Mercedes-Benz,220,1995,480,Sedan,Violet,22,Gas / petrol,Mechanical,1.0,5300
173,Mercedes-Benz,C серия,2011,161000,Universal,Asphalt,2200,Diesel,Mechanical,1.0,12300
174,Mercedes-Benz,W123,1979,240000,Sedan,White,3000,Diesel,Automatic,1.0,2500
175,Volkswagen,Passat Sedan,1997,0,Sedan,Silver,1600,Gas / petrol,Mechanical,1.0,5000
176,Volkswagen,Transporter,2007,240,Other,Blue,2500,Diesel,Mechanical,1.0,9500
177,VAZ,2106,1987,50000,Sedan,Cherry,1300,Petrol,Mechanical,1.0,700
178,Mercedes-Benz,S серия,1997,370000,Sedan,Gray,3200,Petrol,Automatic,1.0,6300
179,Citroen,C4,2015,0,Universal,Asphalt,1600,Diesel,Mechanical,1.0,7653
180,Ford,Transit,2002,0,Passenger van (up to 1.5 tons),Black,20,Diesel,Mechanical,1.0,1153
181,BMW,X3,2015,95000,SUV / Crossover,Gray,2000,Petrol,Automatic,1.0,27000
182,Renault,21,1986,0,Sedan,Blue,17,Gas / petrol,Mechanical,1.0,1153
183,ZAZ,968,1991,30000,Sedan,White,40,Gas / petrol,Mechanical,1.0,250
184,VAZ,21099,2006,200,Sedan,Black,1500,Petrol,Mechanical,1.0,2350
185,VAZ,2106,1987,70000,Sedan,Green,1300,Gas / petrol,Mechanical,1.0,1050
186,Skoda,Octavia,2008,236000,Universal,Silver,1900,Diesel,Automatic,1.0,8000
187,VAZ,21099,2002,188000,Sedan,Green,15,Gas / petrol,Mechanical,1.0,0
188,Opel,GT,2006,250,Universal,Bronze,17,Diesel,Mechanical,1.0,6500
